OBJECTID,zones455,FREQUENCY,Age_adjusted_LCM,Female_Rate,Male_Rate,less_than_49,F49_74,beyond_74,smokrate,GDP,Health_Care_Quality,Health_care_Access,Public_Health,wind,NO2,Temp,SO2,PM25,ozone,co
20,18,2,61.9,54.13,106.165,0,198.76,459.28,0.226,16,15,35,43,94.90466118,17.07681046,57.93433743,3.725285507,29.84083386,40.37650376,0.265157134
21,19,5,54.6,59.982,80.26,0.726,156.094,367.29,0.223,31.6,41.8,42,46,84.54035919,15.00824876,61.69524111,5.166055694,33.16769855,38.72423623,0.261096646
22,20,6,48.48333333,68.332,89.65666667,0,178.0016667,276.1,0.19,12,19,26.33333333,34.33333333,98.64152684,14.64166306,60.06427764,4.663166595,30.55923361,42.58309147,0.24982774
23,21,2,24,22.815,30.33,0,79.03,100.57,0.143,38,7,19,26,105.2438319,16.39957635,46.68724995,3.518677577,21.22035017,37.70462634,0.244557182
24,22,5,47.46,55.77,90.026,1.106,168.388,241.6,0.2022,15,28.6,38.4,38.2,98.62327412,17.02976081,60.59794947,3.053557562,33.10196816,41.57037917,0.264973716
25,23,4,54.625,48.16,101.87,0,153.9925,270.0825,0.212,27,35.5,23,35,97.15850195,13.93599912,55.04440403,2.601531724,30.94384893,38.3958079,0.235811517
26,24,2,47.35,44.185,59.66,0,116.035,459.155,0.222,36,50,45,46,87.27770103,13.70225238,66.59357997,4.347261927,36.01665361,36.39010713,0.269329396
27,25,2,40.3,72.385,89.07,3.63,130.89,305.075,0.161,4,24,48,13,88.58894024,13.21164894,71.95796299,1.632286218,29.95715866,35.00578732,0.26396725
28,26,1,32,57.08,52.07,0,86.39,267.81,0.187,6,10,6,25,97.04876848,12.79074347,54.64259859,3.936472351,31.66592841,36.36653671,0.210290815
29,27,1,39.9,37.7,55.81,0,106.21,315.27,0.211,7,23,24,42,98.25287628,17.38816833,50.97218486,1.888354863,33.04354913,38.76154772,0.253184537
30,28,7,49.84285714,55.75666667,75.11857143,1.5,154.4628571,349.1585714,0.208,22,38,33,40,94.99387124,15.20122512,54.45914013,5.851876094,31.06719619,40.07621684,0.246196761
31,29,3,36.1,43.45333333,57.74,1.93,112.94,245.4433333,0.211,7,23,24,42,97.61408446,15.76524785,51.98564392,2.010385536,33.66278214,39.41857688,0.216827733
32,30,3,40.2,59.79,55.37333333,0.876666667,103.6633333,353.5366667,0.149,45,6,4,7,102.9368287,15.28600687,50.88592644,0.322345142,22.43225613,40.36078025,0.255178179
33,31,6,55.6,70.894,98.86333333,0,192.9733333,360.235,0.243666667,29.66666667,40.33333333,29.33333333,47.33333333,99.74594652,14.65522766,56.52900864,4.234250923,29.92970024,39.42209532,0.223064613
34,32,5,43.86,61.055,82.552,0,152.418,213.884,0.2064,13.2,20.4,14.8,33.4,97.4518737,13.84898958,52.67631409,3.195095473,33.48316626,37.41957475,0.210429544
35,33,4,33.95,48.6425,57.9,0,115.485,214,0.137,12,19,3,2,106.1998047,14.95020414,48.43228021,0.263289915,24.82497711,34.92681376,0.245207018
36,34,3,42.43333333,75.475,82.43,0,141.9366667,216.14,0.145,20,25,21,8,99.01208044,13.07547587,34.61728224,1.408809254,20.95934718,33.7064882,0.258347539
37,36,3,52.56666667,92.44,108.72,0,181.0633333,367.99,0.218,30,42,37.66666667,46,87.52374396,13.69024093,58.84012816,8.83823582,31.33138133,38.74181052,0.236809686
38,37,3,39.93333333,43.235,76.54333333,0,116.28,306.98,0.172,10,21,22,30,94.83414396,13.7496233,60.52735392,1.324246138,31.97755356,42.95184015,0.252881644
