OBJECTID,zones455,rank,Age_adjusted_LCM,Female_Rate,Male_Rate,less_than_49,F49_74,beyond_74,smokrate,GDP,Health_Care_Quality,Health_care_Access,Public_Health,wind,NO2,Temp,SO2,PM25,ozone,co
18,16,3,-0.170108114,-0.149080958,-0.263290828,-0.242921109,-0.24741675,-0.151557328,0.469337888,-0.295092521,-1.259440379,-0.83501609,0.608505376,0.517307308,0.597246888,-0.936656281,-0.445388379,0.080983773,-0.555065853,0.011100886
19,17,4,0.193021747,-0.088160253,-0.168310784,-0.242921109,-0.02257201,-0.258575948,1.206274634,0.862251002,1.118826966,0.70517312,1.252603921,-0.813718392,-0.707013147,0.249613985,1.321393554,0.158243256,0.189289447,-0.721245441
20,18,5,1.963901615,-0.188899303,0.077327263,-0.242921109,0.276543632,-0.019892499,1.550178448,-0.129757732,-0.942338066,0.597718059,1.138939472,0.085662996,0.889494577,0.212002123,0.215713867,-0.066070753,0.899874554,0.728887422
21,19,5,1.237641893,-0.148999139,-0.090679432,-0.207055661,-0.012452472,-0.100247091,1.451920215,1.159853622,1.182247428,1.099175011,1.36626837,-1.101596035,0.098983651,0.591219479,0.695489755,0.686626661,0.372637183,0.540499041
22,20,4,0.629109204,-0.092067087,-0.029737417,-0.242921109,0.135938057,-0.179902871,0.371079655,-0.460427311,-0.625235754,-0.023133406,0.482211543,0.513731138,-0.04110886,0.426767074,0.528027889,0.096465955,1.603995093,0.017672484
23,21,1,-1.806679678,-0.402411543,-0.414500097,-0.242921109,-0.534441779,-0.333230858,-1.168299325,1.688924947,-1.576542692,-0.54846926,-0.149257619,1.270043171,0.630686264,-0.92205797,0.14691351,-2.01644036,0.047280407,-0.226857703
24,22,4,0.527300194,-0.177717439,-0.027342108,-0.188283113,0.070820347,-0.210039119,0.770663135,-0.212425127,0.135809797,0.841282865,0.775213235,0.511640239,0.871514325,0.480577977,-0.007971266,0.671755273,1.280839332,0.720377652
25,23,5,1.240129084,-0.229604015,0.049472071,-0.242921109,-0.026686882,-0.185159244,1.091640029,0.779583607,0.682811286,-0.26192243,0.532729076,0.343846597,-0.310781771,-0.07939404,-0.158495687,0.183484509,0.267835941,-0.632617226
26,24,4,0.516356554,-0.256706399,-0.224280588,-0.242921109,-0.283790187,-0.020001688,1.419167471,1.523590158,1.832307169,1.314085134,1.36626837,-0.788026069,-0.400109226,1.08512607,0.422831762,1.331197842,-0.37218172,0.922461614
27,25,3,-0.185031259,-0.064432883,-0.033542239,-0.063593871,-0.183170557,-0.154592791,-0.578749928,-1.121766467,-0.228857863,1.528995256,-1.134349512,-0.637820045,-0.587595719,1.626024566,-0.481254047,-0.039752467,-0.813917168,0.673682156
